Best case,,time/n,Average,,Worst case,,time/n^2,time/n,Average n^2,Random case,,time/n,Average
30,7161197,4.18924E-06,,,26,2950,2.98765E-06,0.008813559,,43,5449,0.007891356,
29,7127929,4.0685E-06,,,253,9460,2.82708E-06,0.026744186,,74,7115,0.010400562,
37,8830517,4.19002E-06,,,90,5616,2.85357E-06,0.016025641,,106,8489,0.012486748,
9,2252980,3.99471E-06,,,83,5410,2.83585E-06,0.015341959,,32,4621,0.006924908,
20,4961604,4.03095E-06,,,24,2858,2.93824E-06,0.008397481,,105,8521,0.012322497,
20,4841586,4.13088E-06,,,218,8711,2.8729E-06,0.025025829,,7,2163,0.003236246,
18,4470851,4.02608E-06,,,166,7662,2.82764E-06,0.021665362,,98,8294,0.01181577,
11,2731387,4.02726E-06,,,36,3559,2.84215E-06,0.010115201,,43,5326,0.008073601,
6,1338117,4.48391E-06,,,15,2231,3.01365E-06,0.006723442,,19,3618,0.00525152,
18,4204875,4.28075E-06,,,76,5152,2.86327E-06,0.014751553,,53,5949,0.00890906,
35,8444300,4.14481E-06,,,248,9272,2.88473E-06,0.026747196,,57,6262,0.009102523,
4,1137010,3.518E-06,,,119,6482,2.83223E-06,0.018358531,,36,5065,0.007107601,
22,5215732,4.21801E-06,,,101,5936,2.86638E-06,0.017014825,,42,5352,0.007847534,
29,7181078,4.03839E-06,,,12,1929,3.2249E-06,0.00622084,,47,5719,0.00821822,
29,6783928,4.27481E-06,,,290,9733,3.06129E-06,0.029795541,,112,8810,0.012712826,
14,2691424,5.20171E-06,,,134,6801,2.89707E-06,0.019702985,,139,9612,0.01446109,
33,8034011,4.10754E-06,,,47,4036,2.88533E-06,0.011645193,,139,9711,0.014313665,
32,7851694,4.07555E-06,,,252,9093,3.0478E-06,0.027713626,,32,4541,0.007046906,
32,7864748,4.06879E-06,,,14,2008,3.47217E-06,0.006972112,,87,7607,0.011436834,
17,4049886,4.19765E-06,,,139,6639,3.15362E-06,0.020936888,,4,1622,0.002466091,
10,2382404,4.19744E-06,,,5,1338,2.79292E-06,0.003736921,,12,2711,0.004426411,
36,8746298,4.11603E-06,,,128,6690,2.85995E-06,0.019133034,,29,4463,0.006497871,
12,3155417,3.80298E-06,,,5,1113,4.03627E-06,0.004492363,,25,4250,0.005882353,
41,9761592,4.20013E-06,,,118,6328,2.94679E-06,0.018647282,,53,5914,0.008961786,
10,2263352,4.41823E-06,,,89,5548,2.89146E-06,0.016041817,,96,8042,0.011937329,
5,1180575,4.23522E-06,,,75,5008,2.99042E-06,0.014976038,,68,6905,0.009847936,
16,3768737,4.24545E-06,,,140,7009,2.84981E-06,0.019974319,,85,7735,0.010989011,
17,2548423,6.67079E-06,,,215,8598,2.90833E-06,0.025005815,,52,5825,0.008927039,
7,1651632,4.23823E-06,,,220,8684,2.91731E-06,0.025333947,,2,1257,0.00159109,
30,7121852,4.21239E-06,,,18,2446,3.00857E-06,0.007358953,,47,5647,0.008323003,
22,4792445,4.59056E-06,,,74,5014,2.94349E-06,0.014758676,,22,3874,0.005678885,
14,3035294,4.6124E-06,,,4,1246,2.57646E-06,0.003210273,,132,9551,0.013820542,
